reference_number,vendor,customer_name,street_address,contact_phone,postcode_region,commissioning_date,connectivity,service_tier,last_service_visit
TH-02085,OEM_A,Holger Thiemann,Erlenring 5,redacted,40,2025-09-24,connected,optimize,
th-02232,OEM_B,Ingrid Radtke,Mühlenstraße 94,redacted,12,22.04.2024,unknown,free,2025-02-26
02327,OEM_C ,Wiebke Hillebrand,Lindenhof 99b,redacted,90,04.07.2024,not_connected,free,2025-08-08
TH-02095-1,OEM A,Holger Lindemann,Ostpreußenweg 34,redacted,81,2024-08-11,connected,care_plus,2025-07-02
  TH-02257 ,oem-b,Rainer Niehaus,Mühlenstraße 36a,redacted,22,2025-06-14,connected,free,
TH-02245,oem-b,Ahmet Gebhardt,Dorfstraße 89,redacted,20,2025-04-12,connected,care,2025-02-28
TH-02065,oem a,Bettina Grabowski,Ostpreußenweg 59,redacted,90,02.05.2024,connected,free,2026-02-04
TH-02292,C,Ahmet Hillebrand,Gartenstraße 72,redacted,12,2024-08-16,connected,care,2024-12-12
  TH-02037 ,OEM A,Ahmet Vollmer,Feldmark 73,redacted,50,24.03.2025,connected,free,
th-02101,OEM A,Eva Sassenberg,Schulstraße 20,redacted,13,2024-09-08,connected,care,2024-12-27
TH-02016-1,OEM_A,Andreas Niehaus,Lindenhof 35a,redacted,70,2023-02-24,connected,free,2025-01-02
TH-02250,OEM B,Claudia Fährmann,Feldmark 6b,redacted,13,2025-09-15,connected,free,2025-03-23
TH-02125,OEM A,Claudia Jansen,Buchenkamp 99,redacted,13,03.06.2025,connected,care,
TH-02290,OEM B,Elke Ebeling,Waldsaum 124,redacted,20,05.10.2025,connected,care,
th-02092,OEM_A,Jörg Jansen,Feldmark 111,redacted,30,2023-12-09,unknown,care,
TH-02308-1,C,Gudrun Hillebrand,Tannenweg 123,redacted,90,22.04.2025,connected,free,2026-03-09
TH 02083,A,Frank Vollmer,Lindenhof 86b,redacted,12,2025-12-08,connected,free,2025-05-07
th-02011,OEM A,Lothar Ebeling,Gartenstraße 42b,redacted,40,2025-02-02,connected,free,2025-04-10
TH-02296-1,oem c,Gudrun Vollmer,Kirchweg 8a,redacted,22,19.06.2023,connected,care,2024-10-05
th-02315,oem c,Holger Sassenberg,Buchenkamp 18,redacted,70,2023-03-25,not_connected,free,2025-09-21
TH-02041-1,A,Ahmet Fährmann,Waldsaum 67b,redacted,30,2023-10-22,not_connected,care,2025-02-08
02384,OEM_C ,Jörg Uhlig,Ostpreußenweg 33,redacted,70,2024-06-21,connected,care,
TH-02161,OEM_B,Frank Kaminski,Rosenkamp 137,redacted,50,25.02.2023,connected,care,
TH-02163,B,Elke Oestreich,Birkenallee 18a,redacted,12,2025-05-08,not_connected,care,2025-01-06
TH-02324,oem c,Gudrun Brinkmann,Pappelweg 106,redacted,04,22.01.2026,connected,care_plus,
TH-02099,OEM_A,Elke Radtke,Hauptstraße 45b,redacted,10,2026-01-18,connected,optimize,2026-01-27
  TH-02203 ,OEM B,Petra Pfefferle,Im Winkel 124b,redacted,90,2025-10-15,not_connected,free,
TH-02108-1,OEM A,Ingrid Ahrens,Tannenweg 136,redacted,80,2023-03-01,not_connected,optimize,2025-11-25
TH-02247,OEM_B,Gerhard Ebeling,Schulstraße 65a,redacted,81,16.05.2025,connected,free,2024-07-04
TH-02167,OEM B,Gudrun Weinhold,Feldmark 11,redacted,10,19.08.2024,not_connected,optimize,
02158,OEM B,Bogdan Lindemann,Schulstraße 60,redacted,13,22.12.2024,connected,optimize,2026-01-30
TH-02138,oem a,Manuela Weinhold,Dorfstraße 20,redacted,44,02.11.2024,connected,free,
02255,oem-b,Norbert Dettmer,Uferstraße 22a,redacted,44,20.02.2024,connected,care,2024-12-04
  TH-02059 ,OEM_A,Katrin Radtke,Buchenkamp 86b,redacted,70,2025-10-15,unknown,optimize,2024-09-29
th-02103,OEM A,Sabine Thiemann,Buchenkamp 62,redacted,40,15.04.2025,connected,care,2025-06-21
  TH-02152 ,OEM_B,Ingrid Grabowski,Kirchweg 45a,redacted,30,12.01.2023,connected,free,2025-12-30
02162,OEM_B,Andreas Ahrens,Uferstraße 89,redacted,20,22.02.2026,connected,optimize,2024-11-30
TH-02141,oem-b,Rainer Niehaus,Erlenring 75a,redacted,10,04.08.2024,connected,free,2025-01-14
  TH-02060 ,OEM_A,Claudia Ahrens,Tannenweg 137,redacted,80,17.10.2025,unknown,free,
TH 02188,oem-b,Holger Ebeling,Waldsaum 111,redacted,04,2025-02-02,connected,free,2025-02-11
  TH-02174 ,oem-b,Dagmar Vollmer,Kirchweg 71,redacted,40,03.10.2025,unknown,care,2025-08-25
th-02397,OEM_C ,Thorsten Zschiesche,Uferstraße 56,redacted,70,2025-07-18,connected,free,
th-02359,C,Dagmar Thiemann,Buchenkamp 112a,redacted,80,16.10.2025,connected,free,
02314,OEM_C,Jörg Brinkmann,Lindenhof 125,redacted,80,01.01.2024,connected,optimize,2026-04-20
,OEM_C ,Thorsten Gebhardt,Waldsaum 2,redacted,44,,unknown,free,
02028,OEM A,Norbert Möllenkamp,Schulstraße 24,redacted,13,03.12.2024,connected,optimize,2026-02-08
02145,B,Elke Sassenberg,Hauptstraße 91a,redacted,40,2024-02-01,connected,free,2025-02-28
TH-02382,OEM_C,Manuela Fährmann,Hauptstraße 139a,redacted,22,2025-01-02,not_connected,care_plus,
TH-02064,OEM A,Thorsten Oberkamp,Kirchweg 41,redacted,80,2025-09-01,not_connected,free,2024-10-03
TH-02176,OEM_B,Bogdan Zschiesche,Ahornweg 141a,redacted,90,2023-02-17,connected,care,2024-11-28
TH-02089,OEM A,Ingrid Fährmann,Tannenweg 25,redacted,22,2024-10-13,not_connected,care,2024-12-10
TH-02353,OEM_C ,Andreas Lindemann,Rosenkamp 112,redacted,60,07.08.2024,not_connected,care,2025-03-12
  TH-02182 ,B,Bettina Ebeling,Pappelweg 18,redacted,40,2025-11-09,connected,optimize,2026-02-24
TH-02087,OEM A,Jörg Oberkamp,Hauptstraße 45a,redacted,12,2024-08-07,connected,free,
TH-02199-1,OEM_B,Ingrid Hillebrand,Feldmark 5,redacted,04,16.04.2025,unknown,free,
  TH-02045 ,oem a,Ahmet Kaminski,Feldmark 131,redacted,13,2023-07-24,connected,free,2025-10-03
02126,OEM A,Claudia Ahrens,Kirchweg 127b,redacted,04,03.06.2023,connected,free,2024-08-10
TH-02057,A,Jörg Radtke,Feldmark 20a,redacted,80,2024-12-27,not_connected,optimize,2024-09-24
TH-02311,oem c,Ulrike Brinkmann,Buchenkamp 98,redacted,40,2023-05-10,connected,free,2024-09-22
  TH-02274 ,B,Petra Dettmer,Im Winkel 142,redacted,04,2025-07-25,not_connected,care_plus,
02178,oem-b,Sabine Thiemann,Erlenring 68,redacted,60,21.10.2024,connected,optimize,2026-04-16
TH-02244,OEM B,Christoph Zschiesche,Quellenstraße 19,redacted,50,2025-10-07,connected,free,2024-07-08
TH-02122,OEM_A,Katrin Vollmer,Dorfstraße 70,redacted,50,2024-06-28,connected,optimize,2026-04-21
TH-02366,OEM_C,Andreas Fährmann,Uferstraße 11,redacted,90,2023-10-13,connected,free,2025-08-06
th-02187,B,Bogdan Ahrens,Gartenstraße 12a,redacted,13,29.03.2025,connected,optimize,
TH-02264,OEM_B,Gudrun Jansen,Ostpreußenweg 4,redacted,70,2023-07-26,not_connected,free,
TH-02181,B,Christoph Radtke,Kirchweg 62a,redacted,50,2023-07-04,connected,optimize,2025-12-22
